Bairro,Candidato,Votos
TIJUCUSSU 2,12888 NETO POLI,13
TIJUCUSSU 2,13123 PROFESSOR ADEILDO,6
TIJUCUSSU 2,13222 FÁBIA NAPOLEAO,1
TIJUCUSSU 2,13444 TIAGO ROCHA,33
TIJUCUSSU 2,13789 PROFESSOR ERIVAN,12
TIJUCUSSU 2,18777 FABIO MARTINS,1
TIJUCUSSU 2,22000 CLAUDEMIR TOCA FOGO,13
TIJUCUSSU 2,22100 NÚBIA DO ABRIGO MASCOTINHO,4
TIJUCUSSU 2,22111 VINÍCIUS OLINDA,19
TIJUCUSSU 2,22222 RAFAEL AZEVEDO,5
TIJUCUSSU 2,22300 GILBERTO DA MANGABEIRA,1
TIJUCUSSU 2,22999 PITANGA DA FUNERÁRIA,8
TIJUCUSSU 2,27000 LAURO CARDOSO,7
TIJUCUSSU 2,27123 MARCIO RABELO,3
TIJUCUSSU 2,27456 ENFERMEIRA MARCIA,8
TIJUCUSSU 2,27777 SERGINHO PARATLETA,1
TIJUCUSSU 2,27888 MARCELO DO PAREDÃO,3
TIJUCUSSU 2,27999 JUNIOR GENRO JULIO,6
TIJUCUSSU 2,28028 MAILSON,1
TIJUCUSSU 2,28123 PRISCILA LIMA,20
TIJUCUSSU 2,28888 VALDECIR,1
TIJUCUSSU 2,40000 VIEIRA DO TIQUINHO,9
TIJUCUSSU 2,40111 ALLISON CAMILO,4
TIJUCUSSU 2,40123 BETO RAMIRES,13
TIJUCUSSU 2,40444 ADONIAS DO TURISMO,48
TIJUCUSSU 2,40456 JORDANA BRAGA,4
TIJUCUSSU 2,40555 NOVO CONSTRUÇÃO,7
TIJUCUSSU 2,44000 OLIVEIRA SILVA,2
TIJUCUSSU 2,44555 LURDENIS VIEIRA,9
TIJUCUSSU 2,44567 NETO DANTAS,4
TIJUCUSSU 2,45000 MAJU,5
TIJUCUSSU 2,45111 BAMBAM DAS PEGADINHAS,6
TIJUCUSSU 2,45112 LUCIANA,24
TIJUCUSSU 2,45555 FRANCISCO DO BALBINO,9
TIJUCUSSU 2,11190 MAGALY MORAIS,1
TIJUCUSSU 2,12111 CRISTIANE GOMES,1
TIJUCUSSU 2,12344 ALDIZIO,1
TIJUCUSSU 2,22555 RAFAEL OLIVEIRA,1
TIJUCUSSU 2,28666 FANTIQUIM,1
TIJUCUSSU 2,40789 GIRLANE DO CEDRO,1
TIJUCUSSU 2,44111 DODÓ,1
TIJUCUSSU 2,44444 KEKEU DO MUCURA,1
CHORO PEDRA REDONDA,10000 LUZIANE DO MUCURA,2
CHORO PEDRA REDONDA,10333 DAVID GARCÊS,2
CHORO PEDRA REDONDA,10456 GLEIDSON DA BOA AGUA,1
CHORO PEDRA REDONDA,10777 PAULO DA JUDITE,1
CHORO PEDRA REDONDA,10789 FLÁVIO CASCAVELENSE,1
CHORO PEDRA REDONDA,11000 FREITAS DA SAÚDE,12
CHORO PEDRA REDONDA,11222 SEBASTIÃO UCHÔA,2
CHORO PEDRA REDONDA,12123 NENEM DA VIUVA,1
CHORO PEDRA REDONDA,12888 NETO POLI,1
CHORO PEDRA REDONDA,13123 PROFESSOR ADEILDO,6
CHORO PEDRA REDONDA,13444 TIAGO ROCHA,2
CHORO PEDRA REDONDA,13456 ENFERMEIRA LEUDA CARVALHO,1
CHORO PEDRA REDONDA,13789 PROFESSOR ERIVAN,1
CHORO PEDRA REDONDA,22000 CLAUDEMIR TOCA FOGO,1
CHORO PEDRA REDONDA,22111 VINÍCIUS OLINDA,5
CHORO PEDRA REDONDA,22222 RAFAEL AZEVEDO,1
CHORO PEDRA REDONDA,22999 PITANGA DA FUNERÁRIA,4
CHORO PEDRA REDONDA,27123 MARCIO RABELO,2
CHORO PEDRA REDONDA,27456 ENFERMEIRA MARCIA,1
CHORO PEDRA REDONDA,27888 MARCELO DO PAREDÃO,2
CHORO PEDRA REDONDA,27999 JUNIOR GENRO JULIO,1
CHORO PEDRA REDONDA,28123 PRISCILA LIMA,2
CHORO PEDRA REDONDA,28777 CLENILDO QUEIROZ,12
CHORO PEDRA REDONDA,28888 VALDECIR,5
CHORO PEDRA REDONDA,40000 VIEIRA DO TIQUINHO,4
CHORO PEDRA REDONDA,40123 BETO RAMIRES,6
CHORO PEDRA REDONDA,40555 NOVO CONSTRUÇÃO,3
CHORO PEDRA REDONDA,44000 OLIVEIRA SILVA,2
CHORO PEDRA REDONDA,44111 DODÓ,22
CHORO PEDRA REDONDA,44444 KEKEU DO MUCURA,12
CHORO PEDRA REDONDA,44567 NETO DANTAS,1
CHORO PEDRA REDONDA,44777 NILDE BORGES,1
CHORO PEDRA REDONDA,44900 SHEIK DO DR BRUNO,1
CHORO PEDRA REDONDA,45555 FRANCISCO DO BALBINO,1
CHORO PEDRA REDONDA,45678 JUNIOR DO ZE AIRTON,1
GUANACES,10000 LUZIANE DO MUCURA,101
GUANACES,10333 DAVID GARCÊS,12
GUANACES,10456 GLEIDSON DA BOA AGUA,223
GUANACES,10777 PAULO DA JUDITE,105
GUANACES,10789 FLÁVIO CASCAVELENSE,161
GUANACES,11000 FREITAS DA SAÚDE,55
GUANACES,11222 SEBASTIÃO UCHÔA,69
GUANACES,11234 TIA LURDES,4
GUANACES,11444 EVILÁSIO DANTAS,80
GUANACES,12123 NENEM DA VIUVA,12
GUANACES,12777 VITORIA MARTINS,5
GUANACES,12888 NETO POLI,54
GUANACES,13000 MARIA JÔ,2
GUANACES,13123 PROFESSOR ADEILDO,107
GUANACES,13789 PROFESSOR ERIVAN,53
GUANACES,20444 DR MARCIO OLIVEIRA ADVOGADO,13
GUANACES,22000 CLAUDEMIR TOCA FOGO,25
GUANACES,22111 VINÍCIUS OLINDA,227
GUANACES,22222 RAFAEL AZEVEDO,6
GUANACES,22555 RAFAEL OLIVEIRA,35
GUANACES,22678 PASTORA PATRÍCIA,1
GUANACES,27000 LAURO CARDOSO,23
GUANACES,27456 ENFERMEIRA MARCIA,42
GUANACES,27888 MARCELO DO PAREDÃO,72
GUANACES,28123 PRISCILA LIMA,95
GUANACES,28888 VALDECIR,31
GUANACES,40000 VIEIRA DO TIQUINHO,32
GUANACES,40111 ALLISON CAMILO,14
GUANACES,40123 BETO RAMIRES,252
GUANACES,40444 ADONIAS DO TURISMO,5
GUANACES,40456 JORDANA BRAGA,2
GUANACES,40555 NOVO CONSTRUÇÃO,222
GUANACES,44123 GAVIÃO SILVA,9
GUANACES,44222 LALÁ,13
GUANACES,44444 KEKEU DO MUCURA,3
GUANACES,44555 LURDENIS VIEIRA,7
GUANACES,44789 LUCIÉDSON FREITAS,83
GUANACES,44900 SHEIK DO DR BRUNO,132
GUANACES,45555 FRANCISCO DO BALBINO,15
GUANACES,45678 JUNIOR DO ZE AIRTON,173
GUANACES,45777 BRUMARK,4
GUANACES,70000 RONALDO FEITOSA,123
GUANACES,13222 FÁBIA NAPOLEAO,8
GUANACES,13444 TIAGO ROCHA,21
GUANACES,13567 PROFESSOR OZELITO,11
GUANACES,22100 NÚBIA DO ABRIGO MASCOTINHO,4
GUANACES,22777 GUI DA PADARIA,2
GUANACES,22999 PITANGA DA FUNERÁRIA,3
GUANACES,27555 FAFA,4
GUANACES,27999 JUNIOR GENRO JULIO,15
GUANACES,40888 ENFERMEIRA NATECIA,2
GUANACES,44567 NETO DANTAS,44
GUANACES,45444 PALOMA DELRIO,19
GUANACES,45888 ZE DO JORNAL,5
GUANACES,10111 PROFESSORA NONATA COSTA,4
GUANACES,10123 PAULINHO PROMOÇÕES,9
GUANACES,28028 MAILSON,1
GUANACES,28666 FANTIQUIM,4
GUANACES,44000 OLIVEIRA SILVA,2
GUANACES,45111 BAMBAM DAS PEGADINHAS,1
GUANACES,45222 YURI MOTA,1
GUANACES,70100 RUBENILTON,2
GUANACES,22888 LEIDIANE CIRÍACO,1
GUANACES,44111 DODÓ,10
GUANACES,18888 PROFESSOR SILVESTRE,2
GUANACES,28007 JOSUÉ CORREIA,1
GUANACES,28777 CLENILDO QUEIROZ,4
GUANACES,70007 TONI CARVALHO,1
GUANACES,11666 LIBERATO FILHO,1
GUANACES,12111 CRISTIANE GOMES,1
GUANACES,22444 EDILENE QUEROGA,1
GUANACES,27333 GALILEU,1
GUANACES,11111 PASTORA HELENA CORDEIRO,4
GUANACES,28333 ADILENE NOBRE,1
GUANACES,10222 MICHAEL SULLYVAN,3
GUANACES,45121 MAZE,1
GUANACES,27123 MARCIO RABELO,3
GUANACES,28124 MARLY DO BENJAMIN,1
GUANACES,45112 LUCIANA,2
GUANACES,11777 DIONES LIMA,1
PITOMBEIRAS,10000 LUZIANE DO MUCURA,15
PITOMBEIRAS,10123 PAULINHO PROMOÇÕES,1
PITOMBEIRAS,10333 DAVID GARCÊS,9
PITOMBEIRAS,10456 GLEIDSON DA BOA AGUA,54
PITOMBEIRAS,10777 PAULO DA JUDITE,24
PITOMBEIRAS,10789 FLÁVIO CASCAVELENSE,39
PITOMBEIRAS,11000 FREITAS DA SAÚDE,2
PITOMBEIRAS,11111 PASTORA HELENA CORDEIRO,7
PITOMBEIRAS,11222 SEBASTIÃO UCHÔA,70
PITOMBEIRAS,13123 PROFESSOR ADEILDO,10
PITOMBEIRAS,13444 TIAGO ROCHA,40
PITOMBEIRAS,13789 PROFESSOR ERIVAN,12
PITOMBEIRAS,22111 VINÍCIUS OLINDA,16
PITOMBEIRAS,22555 RAFAEL OLIVEIRA,5
PITOMBEIRAS,27000 LAURO CARDOSO,4
PITOMBEIRAS,27888 MARCELO DO PAREDÃO,2
PITOMBEIRAS,28777 CLENILDO QUEIROZ,19
PITOMBEIRAS,28888 VALDECIR,60
PITOMBEIRAS,40000 VIEIRA DO TIQUINHO,3
PITOMBEIRAS,40123 BETO RAMIRES,9
PITOMBEIRAS,40444 ADONIAS DO TURISMO,13
PITOMBEIRAS,40888 ENFERMEIRA NATECIA,80
PITOMBEIRAS,44567 NETO DANTAS,2
PITOMBEIRAS,44789 LUCIÉDSON FREITAS,7
PITOMBEIRAS,44900 SHEIK DO DR BRUNO,3
PITOMBEIRAS,45555 FRANCISCO DO BALBINO,6
PITOMBEIRAS,70100 RUBENILTON,1
PITOMBEIRAS,11555 LÉO DA BICA,1
PITOMBEIRAS,11789 EDUARDO CRUZ,1
PITOMBEIRAS,22222 RAFAEL AZEVEDO,1
PITOMBEIRAS,40555 NOVO CONSTRUÇÃO,6
PITOMBEIRAS,45678 JUNIOR DO ZE AIRTON,1
PITOMBEIRAS,45777 BRUMARK,1
PITOMBEIRAS,22888 LEIDIANE CIRÍACO,1
PITOMBEIRAS,40789 GIRLANE DO CEDRO,4
CHORO VAQUEJADOR,10000 LUZIANE DO MUCURA,11
CHORO VAQUEJADOR,10123 PAULINHO PROMOÇÕES,25
CHORO VAQUEJADOR,10333 DAVID GARCÊS,2
CHORO VAQUEJADOR,10456 GLEIDSON DA BOA AGUA,21
CHORO VAQUEJADOR,10777 PAULO DA JUDITE,9
CHORO VAQUEJADOR,10789 FLÁVIO CASCAVELENSE,23
CHORO VAQUEJADOR,11000 FREITAS DA SAÚDE,38
CHORO VAQUEJADOR,11111 PASTORA HELENA CORDEIRO,1
CHORO VAQUEJADOR,11222 SEBASTIÃO UCHÔA,11
CHORO VAQUEJADOR,12123 NENEM DA VIUVA,11
CHORO VAQUEJADOR,12888 NETO POLI,6
CHORO VAQUEJADOR,13123 PROFESSOR ADEILDO,28
CHORO VAQUEJADOR,13444 TIAGO ROCHA,8
CHORO VAQUEJADOR,13456 ENFERMEIRA LEUDA CARVALHO,31
CHORO VAQUEJADOR,13789 PROFESSOR ERIVAN,5
CHORO VAQUEJADOR,22000 CLAUDEMIR TOCA FOGO,67
CHORO VAQUEJADOR,22111 VINÍCIUS OLINDA,5
CHORO VAQUEJADOR,22333 TAZIA XAVIER,7
CHORO VAQUEJADOR,22777 GUI DA PADARIA,5
CHORO VAQUEJADOR,22999 PITANGA DA FUNERÁRIA,12
CHORO VAQUEJADOR,27000 LAURO CARDOSO,1
CHORO VAQUEJADOR,27123 MARCIO RABELO,7
CHORO VAQUEJADOR,27456 ENFERMEIRA MARCIA,4
CHORO VAQUEJADOR,27888 MARCELO DO PAREDÃO,2
CHORO VAQUEJADOR,28007 JOSUÉ CORREIA,11
CHORO VAQUEJADOR,28123 PRISCILA LIMA,12
CHORO VAQUEJADOR,28777 CLENILDO QUEIROZ,70
CHORO VAQUEJADOR,28888 VALDECIR,16
CHORO VAQUEJADOR,40000 VIEIRA DO TIQUINHO,16
CHORO VAQUEJADOR,40123 BETO RAMIRES,22
CHORO VAQUEJADOR,40555 NOVO CONSTRUÇÃO,15
CHORO VAQUEJADOR,40789 GIRLANE DO CEDRO,3
CHORO VAQUEJADOR,44111 DODÓ,1
CHORO VAQUEJADOR,44444 KEKEU DO MUCURA,4
CHORO VAQUEJADOR,44456 JEOVANE DO GÁS,3
CHORO VAQUEJADOR,44555 LURDENIS VIEIRA,18
CHORO VAQUEJADOR,44567 NETO DANTAS,22
CHORO VAQUEJADOR,44789 LUCIÉDSON FREITAS,33
CHORO VAQUEJADOR,45112 LUCIANA,1
CHORO VAQUEJADOR,45555 FRANCISCO DO BALBINO,4
CHORO VAQUEJADOR,70100 RUBENILTON,2
CHORO VAQUEJADOR,13222 FÁBIA NAPOLEAO,2
CHORO VAQUEJADOR,22555 RAFAEL OLIVEIRA,1
CHORO VAQUEJADOR,28124 MARLY DO BENJAMIN,2
CHORO VAQUEJADOR,44000 OLIVEIRA SILVA,7
CHORO VAQUEJADOR,44900 SHEIK DO DR BRUNO,1
CHORO VAQUEJADOR,45678 JUNIOR DO ZE AIRTON,2
CHORO VAQUEJADOR,70000 RONALDO FEITOSA,1
CHORO VAQUEJADOR,11777 DIONES LIMA,1
CHORO VAQUEJADOR,11789 EDUARDO CRUZ,1
CHORO VAQUEJADOR,12111 CRISTIANE GOMES,1
CHORO VAQUEJADOR,12345 DR GUTEMBERG,1
CHORO VAQUEJADOR,12666 MARIA ELENICE,1
CHORO VAQUEJADOR,13567 PROFESSOR OZELITO,1
CHORO VAQUEJADOR,44777 NILDE BORGES,1
CHORO VAQUEJADOR,45444 PALOMA DELRIO,1
GUANACES(LAGOA DE SOUSA),10000 LUZIANE DO MUCURA,9
GUANACES(LAGOA DE SOUSA),10333 DAVID GARCÊS,1
GUANACES(LAGOA DE SOUSA),10456 GLEIDSON DA BOA AGUA,65
GUANACES(LAGOA DE SOUSA),10777 PAULO DA JUDITE,4
GUANACES(LAGOA DE SOUSA),10789 FLÁVIO CASCAVELENSE,6
GUANACES(LAGOA DE SOUSA),11000 FREITAS DA SAÚDE,2
GUANACES(LAGOA DE SOUSA),11222 SEBASTIÃO UCHÔA,34
GUANACES(LAGOA DE SOUSA),13123 PROFESSOR ADEILDO,12
GUANACES(LAGOA DE SOUSA),13222 FÁBIA NAPOLEAO,1
GUANACES(LAGOA DE SOUSA),22111 VINÍCIUS OLINDA,370
GUANACES(LAGOA DE SOUSA),22555 RAFAEL OLIVEIRA,6
GUANACES(LAGOA DE SOUSA),22999 PITANGA DA FUNERÁRIA,1
GUANACES(LAGOA DE SOUSA),27456 ENFERMEIRA MARCIA,9
GUANACES(LAGOA DE SOUSA),27888 MARCELO DO PAREDÃO,1
GUANACES(LAGOA DE SOUSA),28123 PRISCILA LIMA,7
GUANACES(LAGOA DE SOUSA),40000 VIEIRA DO TIQUINHO,6
GUANACES(LAGOA DE SOUSA),40111 ALLISON CAMILO,4
GUANACES(LAGOA DE SOUSA),40555 NOVO CONSTRUÇÃO,2
GUANACES(LAGOA DE SOUSA),44123 GAVIÃO SILVA,3
GUANACES(LAGOA DE SOUSA),44222 LALÁ,1
GUANACES(LAGOA DE SOUSA),44900 SHEIK DO DR BRUNO,3
GUANACES(LAGOA DE SOUSA),70000 RONALDO FEITOSA,5
GUANACES(LAGOA DE SOUSA),10111 PROFESSORA NONATA COSTA,1
GUANACES(LAGOA DE SOUSA),10123 PAULINHO PROMOÇÕES,4
GUANACES(LAGOA DE SOUSA),12123 NENEM DA VIUVA,4
GUANACES(LAGOA DE SOUSA),12888 NETO POLI,2
GUANACES(LAGOA DE SOUSA),13444 TIAGO ROCHA,1
GUANACES(LAGOA DE SOUSA),22000 CLAUDEMIR TOCA FOGO,1
GUANACES(LAGOA DE SOUSA),27999 JUNIOR GENRO JULIO,12
GUANACES(LAGOA DE SOUSA),28888 VALDECIR,2
GUANACES(LAGOA DE SOUSA),40123 BETO RAMIRES,2
GUANACES(LAGOA DE SOUSA),40456 JORDANA BRAGA,1
GUANACES(LAGOA DE SOUSA),44789 LUCIÉDSON FREITAS,10
GUANACES(LAGOA DE SOUSA),45555 FRANCISCO DO BALBINO,1
GUANACES(LAGOA DE SOUSA),70100 RUBENILTON,1
GUANACES(LAGOA DE SOUSA),22444 EDILENE QUEROGA,1
GUANACES(LAGOA DE SOUSA),45678 JUNIOR DO ZE AIRTON,1
GUANACES(LAGOA DE SOUSA),45777 BRUMARK,1
VILA PACHECO,10000 LUZIANE DO MUCURA,10
VILA PACHECO,10123 PAULINHO PROMOÇÕES,43
VILA PACHECO,10333 DAVID GARCÊS,6
VILA PACHECO,10456 GLEIDSON DA BOA AGUA,16
VILA PACHECO,10777 PAULO DA JUDITE,30
VILA PACHECO,10789 FLÁVIO CASCAVELENSE,37
VILA PACHECO,11000 FREITAS DA SAÚDE,10
VILA PACHECO,11222 SEBASTIÃO UCHÔA,8
VILA PACHECO,11777 DIONES LIMA,1
VILA PACHECO,11789 EDUARDO CRUZ,21
VILA PACHECO,12111 CRISTIANE GOMES,1
VILA PACHECO,12123 NENEM DA VIUVA,35
VILA PACHECO,12333 IAGO MOURA,1
VILA PACHECO,12777 VITORIA MARTINS,12
VILA PACHECO,12888 NETO POLI,23
VILA PACHECO,13000 MARIA JÔ,5
VILA PACHECO,13123 PROFESSOR ADEILDO,12
VILA PACHECO,13222 FÁBIA NAPOLEAO,3
VILA PACHECO,13444 TIAGO ROCHA,19
VILA PACHECO,13789 PROFESSOR ERIVAN,25
VILA PACHECO,18024 JOJO,1
VILA PACHECO,18777 FABIO MARTINS,6
VILA PACHECO,20333 CELIA DAS MARIAS,4
VILA PACHECO,22000 CLAUDEMIR TOCA FOGO,8
VILA PACHECO,22100 NÚBIA DO ABRIGO MASCOTINHO,10
VILA PACHECO,22111 VINÍCIUS OLINDA,31
VILA PACHECO,22222 RAFAEL AZEVEDO,6
VILA PACHECO,22300 GILBERTO DA MANGABEIRA,6
VILA PACHECO,22333 TAZIA XAVIER,3
VILA PACHECO,22777 GUI DA PADARIA,10
VILA PACHECO,22888 LEIDIANE CIRÍACO,6
VILA PACHECO,22999 PITANGA DA FUNERÁRIA,14
VILA PACHECO,27123 MARCIO RABELO,36
VILA PACHECO,27333 GALILEU,2
VILA PACHECO,27888 MARCELO DO PAREDÃO,9
VILA PACHECO,27999 JUNIOR GENRO JULIO,4
VILA PACHECO,28007 JOSUÉ CORREIA,16
VILA PACHECO,28028 MAILSON,7
VILA PACHECO,28123 PRISCILA LIMA,46
VILA PACHECO,28333 ADILENE NOBRE,1
VILA PACHECO,28456 HAVAGARDO SILVA,2
VILA PACHECO,28777 CLENILDO QUEIROZ,2
VILA PACHECO,28888 VALDECIR,55
VILA PACHECO,40000 VIEIRA DO TIQUINHO,17
VILA PACHECO,40111 ALLISON CAMILO,4
VILA PACHECO,40444 ADONIAS DO TURISMO,12
VILA PACHECO,40555 NOVO CONSTRUÇÃO,21
VILA PACHECO,44000 OLIVEIRA SILVA,4
VILA PACHECO,44123 GAVIÃO SILVA,1
VILA PACHECO,44222 LALÁ,2
VILA PACHECO,44444 KEKEU DO MUCURA,5
VILA PACHECO,44456 JEOVANE DO GÁS,5
VILA PACHECO,44555 LURDENIS VIEIRA,9
VILA PACHECO,44789 LUCIÉDSON FREITAS,3
VILA PACHECO,44900 SHEIK DO DR BRUNO,5
VILA PACHECO,45222 YURI MOTA,8
VILA PACHECO,45444 PALOMA DELRIO,14
VILA PACHECO,45555 FRANCISCO DO BALBINO,5
VILA PACHECO,45678 JUNIOR DO ZE AIRTON,3
VILA PACHECO,45777 BRUMARK,16
VILA PACHECO,10222 MICHAEL SULLYVAN,1
VILA PACHECO,12666 MARIA ELENICE,1
VILA PACHECO,22555 RAFAEL OLIVEIRA,2
VILA PACHECO,27000 LAURO CARDOSO,4
VILA PACHECO,28124 MARLY DO BENJAMIN,2
VILA PACHECO,40123 BETO RAMIRES,3
VILA PACHECO,40789 GIRLANE DO CEDRO,1
VILA PACHECO,44567 NETO DANTAS,3
VILA PACHECO,45888 ZE DO JORNAL,1
VILA PACHECO,11111 PASTORA HELENA CORDEIRO,1
VILA PACHECO,11190 MAGALY MORAIS,1
VILA PACHECO,13456 ENFERMEIRA LEUDA CARVALHO,1
VILA PACHECO,27456 ENFERMEIRA MARCIA,2
ALTO LUMINOSO,10000 LUZIANE DO MUCURA,178
ALTO LUMINOSO,10123 PAULINHO PROMOÇÕES,91
ALTO LUMINOSO,10222 MICHAEL SULLYVAN,5
ALTO LUMINOSO,10333 DAVID GARCÊS,30
ALTO LUMINOSO,10456 GLEIDSON DA BOA AGUA,30
ALTO LUMINOSO,10610 KINZINHO DO VOLMIR,1
ALTO LUMINOSO,10777 PAULO DA JUDITE,58
ALTO LUMINOSO,10789 FLÁVIO CASCAVELENSE,69
ALTO LUMINOSO,11000 FREITAS DA SAÚDE,287
ALTO LUMINOSO,11111 PASTORA HELENA CORDEIRO,4
ALTO LUMINOSO,11222 SEBASTIÃO UCHÔA,44
ALTO LUMINOSO,11777 DIONES LIMA,8
ALTO LUMINOSO,11888 SÉRGIO DO TANGA,2
ALTO LUMINOSO,11999 JAIRO TAXISTA,1
ALTO LUMINOSO,12123 NENEM DA VIUVA,147
ALTO LUMINOSO,12888 NETO POLI,75
ALTO LUMINOSO,13123 PROFESSOR ADEILDO,53
ALTO LUMINOSO,13444 TIAGO ROCHA,48
ALTO LUMINOSO,13567 PROFESSOR OZELITO,4
ALTO LUMINOSO,13789 PROFESSOR ERIVAN,39
ALTO LUMINOSO,22000 CLAUDEMIR TOCA FOGO,67
ALTO LUMINOSO,22100 NÚBIA DO ABRIGO MASCOTINHO,48
ALTO LUMINOSO,22111 VINÍCIUS OLINDA,56
ALTO LUMINOSO,22222 RAFAEL AZEVEDO,26
ALTO LUMINOSO,22300 GILBERTO DA MANGABEIRA,4
ALTO LUMINOSO,22555 RAFAEL OLIVEIRA,12
ALTO LUMINOSO,22999 PITANGA DA FUNERÁRIA,38
ALTO LUMINOSO,27000 LAURO CARDOSO,13
ALTO LUMINOSO,27111 DIEGO MARADONA,3
ALTO LUMINOSO,27123 MARCIO RABELO,25
ALTO LUMINOSO,27333 GALILEU,2
ALTO LUMINOSO,27456 ENFERMEIRA MARCIA,13
ALTO LUMINOSO,27888 MARCELO DO PAREDÃO,4
ALTO LUMINOSO,27999 JUNIOR GENRO JULIO,19
ALTO LUMINOSO,28007 JOSUÉ CORREIA,18
ALTO LUMINOSO,28111 JORGE RODRIGUES,21
ALTO LUMINOSO,28123 PRISCILA LIMA,67
ALTO LUMINOSO,28333 ADILENE NOBRE,2
ALTO LUMINOSO,28456 HAVAGARDO SILVA,2
ALTO LUMINOSO,28777 CLENILDO QUEIROZ,19
ALTO LUMINOSO,28888 VALDECIR,97
ALTO LUMINOSO,40000 VIEIRA DO TIQUINHO,260
ALTO LUMINOSO,40123 BETO RAMIRES,27
ALTO LUMINOSO,40444 ADONIAS DO TURISMO,13
ALTO LUMINOSO,40555 NOVO CONSTRUÇÃO,139
ALTO LUMINOSO,44000 OLIVEIRA SILVA,23
ALTO LUMINOSO,44111 DODÓ,12
ALTO LUMINOSO,44123 GAVIÃO SILVA,17
ALTO LUMINOSO,44444 KEKEU DO MUCURA,64
ALTO LUMINOSO,44555 LURDENIS VIEIRA,34
ALTO LUMINOSO,44567 NETO DANTAS,23
ALTO LUMINOSO,44789 LUCIÉDSON FREITAS,16
ALTO LUMINOSO,45111 BAMBAM DAS PEGADINHAS,4
ALTO LUMINOSO,45123 DUDU DA CAPONGA,4
ALTO LUMINOSO,45678 JUNIOR DO ZE AIRTON,10
ALTO LUMINOSO,45777 BRUMARK,14
ALTO LUMINOSO,70555 HELENA PORFÍRIO,8
ALTO LUMINOSO,13222 FÁBIA NAPOLEAO,18
ALTO LUMINOSO,18777 FABIO MARTINS,1
ALTO LUMINOSO,20111 ALEUTON SEM RECURSO,1
ALTO LUMINOSO,22777 GUI DA PADARIA,2
ALTO LUMINOSO,40111 ALLISON CAMILO,8
ALTO LUMINOSO,44456 JEOVANE DO GÁS,3
ALTO LUMINOSO,44900 SHEIK DO DR BRUNO,15
ALTO LUMINOSO,45222 YURI MOTA,2
ALTO LUMINOSO,45555 FRANCISCO DO BALBINO,6
ALTO LUMINOSO,11234 TIA LURDES,1
ALTO LUMINOSO,11666 LIBERATO FILHO,2
ALTO LUMINOSO,13456 ENFERMEIRA LEUDA CARVALHO,1
ALTO LUMINOSO,18133 ANIZIA,2
ALTO LUMINOSO,40789 GIRLANE DO CEDRO,5
ALTO LUMINOSO,11789 EDUARDO CRUZ,2
ALTO LUMINOSO,12555 HELIO ALEGRIA,2
ALTO LUMINOSO,12789 DAYANE,2
ALTO LUMINOSO,18209 EDNILDA,1
ALTO LUMINOSO,22444 EDILENE QUEROGA,4
ALTO LUMINOSO,27777 SERGINHO PARATLETA,4
ALTO LUMINOSO,45121 MAZE,3
ALTO LUMINOSO,10555 PROFESSORA ADRIANA,1
ALTO LUMINOSO,18999 PROFESSOR BOSCO,3
ALTO LUMINOSO,28124 MARLY DO BENJAMIN,2
ALTO LUMINOSO,28666 FANTIQUIM,3
ALTO LUMINOSO,40222 NETA FREITAS,1
ALTO LUMINOSO,44222 LALÁ,1
ALTO LUMINOSO,45444 PALOMA DELRIO,2
ALTO LUMINOSO,45888 ZE DO JORNAL,2
ALTO LUMINOSO,13000 MARIA JÔ,2
ALTO LUMINOSO,22888 LEIDIANE CIRÍACO,3
ALTO LUMINOSO,40888 ENFERMEIRA NATECIA,1
ALTO LUMINOSO,12666 MARIA ELENICE,1
ALTO LUMINOSO,18000 PROFESSOR JOSÉ BESOURO,2
ALTO LUMINOSO,18713 JERUSALEM,2
ALTO LUMINOSO,70000 RONALDO FEITOSA,2
ALTO LUMINOSO,18024 JOJO,1
ALTO LUMINOSO,22333 TAZIA XAVIER,1
ALTO LUMINOSO,10111 PROFESSORA NONATA COSTA,1
ALTO LUMINOSO,11444 EVILÁSIO DANTAS,2
ALTO LUMINOSO,20333 CELIA DAS MARIAS,1
SITIO BURITIZAL,10000 LUZIANE DO MUCURA,12
SITIO BURITIZAL,10123 PAULINHO PROMOÇÕES,17
SITIO BURITIZAL,10456 GLEIDSON DA BOA AGUA,24
SITIO BURITIZAL,10555 PROFESSORA ADRIANA,4
SITIO BURITIZAL,10777 PAULO DA JUDITE,68
SITIO BURITIZAL,10789 FLÁVIO CASCAVELENSE,30
SITIO BURITIZAL,11000 FREITAS DA SAÚDE,19
SITIO BURITIZAL,11111 PASTORA HELENA CORDEIRO,4
SITIO BURITIZAL,11222 SEBASTIÃO UCHÔA,9
SITIO BURITIZAL,11789 EDUARDO CRUZ,3
SITIO BURITIZAL,12123 NENEM DA VIUVA,21
SITIO BURITIZAL,12666 MARIA ELENICE,16
SITIO BURITIZAL,12777 VITORIA MARTINS,2
SITIO BURITIZAL,12888 NETO POLI,41
SITIO BURITIZAL,13000 MARIA JÔ,7
SITIO BURITIZAL,13123 PROFESSOR ADEILDO,44
SITIO BURITIZAL,13222 FÁBIA NAPOLEAO,3
SITIO BURITIZAL,13444 TIAGO ROCHA,9
SITIO BURITIZAL,13789 PROFESSOR ERIVAN,41
SITIO BURITIZAL,22000 CLAUDEMIR TOCA FOGO,25
